created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2026-03-21T09:53:25+00:00,1,32.4,58.2,855,1430,1474,0,,,,
2026-03-21T09:54:30+00:00,2,32.7,59.5,1616,2224,2260,1,,,,
2026-03-21T09:54:52+00:00,3,32.7,58.3,1671,2193,2233,1,,,,
2026-03-21T09:56:20+00:00,4,33.1,58.3,1739,1618,1655,1,,,,
2026-03-21T09:56:40+00:00,5,33.1,55.8,1731,1475,1515,0,,,,
2026-03-21T09:57:01+00:00,6,33.3,55.6,1717,1370,1408,0,,,,
2026-03-21T09:59:04+00:00,7,33.8,56.6,1469,1020,1063,0,,,,
2026-03-22T06:42:45+00:00,8,29.9,66.8,912,979,0,0,,,,
2026-03-22T06:43:05+00:00,9,30.2,71.1,885,849,0,0,,,,
2026-03-22T06:45:29+00:00,10,30.9,68.5,784,631,0,0,,,,
2026-03-22T06:46:10+00:00,11,31,68,761,606,0,0,,,,
2026-03-22T06:46:30+00:00,12,31.1,67.9,742,589,0,0,,,,
2026-03-22T07:03:28+00:00,13,31.1,68.6,559,432,0,0,,,,
